,sample
1079,RP11-285G1.9
1080,HOXB13
1081,RNU1-143P
1082,RP11-393N4.2
1083,CASP3P1
1084,RNU2-70P
1085,RP11-361C13.1
1086,TP53TG1
1087,FBXO17
1088,RP11-61O1.1
1089,RNU7-200P
1090,PPP3CA
1091,PPP3CB
1092,PPP3CC
1093,RP11-259K5.1
1094,RP11-259K5.2
1095,LIF
1096,RPL12
1097,CTD-2132H18.5
1098,TTC21B-AS1
1099,IQCJ-SCHIP1
1100,RNU7-176P
1101,RNU6-836P
1102,GACAT2
1103,NPY6R
1104,GACAT1
1105,RP3-509I19.1
1106,RP4-535B20.2
1107,RP3-509I19.6
1108,RP4-535B20.1
1109,RNU6-377P
1110,AC107079.1
1111,CTD-2302A16.2
1112,RP11-5P18.10
1113,HK2P1
1114,RPL18
1115,RP5-1100E15.4
1116,AC079140.1
1117,ADRA2A
1118,ADRA2B
1119,RPL19
1120,RP11-89K21.2
1121,TEX26
1122,RP11-89K21.1
1123,RP13-140E4.1
1124,RP1-166H4.2
1125,TEX22
1126,RNU7-53P
1127,RP11-767L7.1
1128,AC117444.1
1129,TEX28
1130,TEX29
1131,RP11-385F7.1
1132,RP11-159D12.11
1133,RP11-521M14.1
1134,RNU6-299P
1135,RP11-95F22.1
1136,AC016730.1
1137,RP1-46F2.3
1138,AC016730.2
1139,RNU6-1150P
1140,SYT8
1141,SYT9
1142,LINC01251
1143,LINC01250
1144,LINC01257
1145,MTCH2
1146,MTCH1
1147,LINC01254
1148,SYT1
1149,SYT2
1150,SYT3
1151,SYT4
1152,SYT5
1153,SYT6
1154,SYT7
1155,RP11-401I19.2
1156,RP11-1D12.1
1157,TIAL1
1158,RP11-401I19.1
1159,CH17-478G19.2
1160,CTD-2623H2.7
1161,RP11-72M10.8
1162,IGKV1-12
1163,FUBP3
1164,RP11-72M10.4
1165,FUBP1
1166,IGKV1-16
1167,IGKV1-17
1168,RP11-96O20.5
1169,RP11-96O20.4
1170,RP11-18O15.1
1171,SCHIP1
1172,CTD-2281E23.1
1173,CTD-2281E23.2
1174,RNU6-1068P
1175,CTBP1-AS2
1176,RP1-228H13.1
1177,MARCO
1178,SAP30
1179,NBL1
1180,RNU6-410P
1181,RNU6-373P
1182,C3orf67-AS1
1183,RP11-447H19.3
1184,RP11-447H19.2
1185,HSFX2
1186,HSFX1
1187,DRC7
1188,DRC1
1189,RP11-368J21.3
1190,RP11-893G17.4
1191,AC027347.1
1192,RP11-17M15.4
1193,RP11-17M15.2
1194,RP11-17M15.1
1195,C1orf53
1196,C1orf52
1197,C1orf50
1198,C1orf56
1199,C1orf54
1200,RNU6-567P
1201,MARC1
1202,MARC2
1203,RP11-561P12.5
1204,AC002128.5
1205,HNRNPFP1
1206,HIST1H4PS1
1207,RNU6-348P
1208,RP11-177J6.1
1209,MIPEPP1
1210,APCDD1L-AS1
1211,OR7E96P
1212,MIR181A1HG
1213,AC010740.1
1214,SMPD4
1215,CTC-232P5.3
1216,SMPD1
1217,SMPD3
1218,SMPD2
1219,BRIP1
1220,PDE11A
1221,HCP5B
1222,RP11-666A20.3
1223,RP11-174J11.1
1224,RP11-666A20.4
1225,MRPS21P9
1226,BRWD1P1
1227,TTC28
1228,TTC29
1229,TTC24
1230,TTC25
1231,TTC26
1232,TTC27
1233,PATL2
1234,BRWD1P3
1235,TTC22
1236,TTC23
1237,RP11-385J1.3
1238,RP5-1102E8.3
1239,AP000261.1
1240,RP11-433J8.1
1241,EGFR-AS1
1242,RNU5A-5P
1243,ENO1
1244,ENO2
1245,ENO3
1246,ENO4
1247,AC005224.2
1248,PCSK6-AS1
1249,RNU4ATAC10P
1250,RP11-138E2.1
1251,AC097499.2
1252,CTD-2337I7.1
1253,RP11-171N4.4
1254,AC097499.1
1255,RP11-171N4.2
1256,AC215219.1
1257,RP11-358N4.5
1258,RP11-208N20.1
1259,OIP5-AS1
1260,RP11-306G20.1
1261,RP11-893F2.5
1262,FAM177A1P1
1263,RCN1P2
1264,CBX3P9
1265,CBX3P6
1266,CBX3P7
1267,CBX3P4
1268,CBX3P5
1269,RP11-259G18.2
1270,CFD
1271,CBX3P1
1272,OBSCN
1273,RP4-547N15.3
1274,AC063976.2
1275,RP1-267D11.1
1276,RN7SL826P
1277,RP11-1099M24.7
1278,RP11-1099M24.6
1279,CTD-2515H24.4
1280,CTD-2515H24.2
1281,MCL1
1282,CTD-2515H24.1
1283,SORBS1
1284,SORBS3
1285,SORBS2
1286,ODC1
1287,RP11-1099M24.9
1288,RP11-1099M24.8
1289,TCP1P1
1290,AC078899.4
1291,IL18RAP
1292,TMEM167AP1
1293,EOMES
1294,BCDIN3D-AS1
1295,RP11-171I2.1
1296,AL450327.1
1297,RNU4-68P
1298,RP11-171I2.2
1299,RP11-59D5__B.2
1300,RP11-59D5__B.3
1301,RP5-1096J16.1
1302,MIR873
1303,KCTD21-AS1
1304,AL772307.1
1305,MIR877
1306,MIR876
1307,MIR875
1308,MIR874
1309,RP4-566D2.1
1310,CGB1
1311,ZSCAN5CP
1312,CGB2
1313,RP11-647F2.2
1314,RP11-727A23.10
1315,AC091069.1
1316,ZSWIM5P3
1317,ZSWIM5P2
1318,ZSWIM5P1
1319,AL139151.1
1320,COX6CP10
1321,MIR3672
1322,RP13-49I15.6
1323,RP11-752P2.1
1324,CTB-174O21.2
1325,RP11-752P2.2
1326,ODCP
1327,MYLKP1
1328,AC078889.1
1329,RP11-386I14.4
1330,FKBP14
1331,FKBP15
1332,UBE2J1
1333,FKBP10
1334,FKBP11
1335,FBXO10
1336,FBXO11
1337,FBXO16
1338,TACO1
1339,AC007253.1
1340,FBXO15
1341,TRBJ2-4
1342,TRBJ2-5
1343,TRBJ2-6
1344,TRBJ2-7
1345,TRBJ2-1
1346,TRBJ2-2
1347,TRBJ2-3
1348,SFTA3
1349,SFTA2
1350,RP11-429B14.1
1351,RP1-148H17.1
1352,RP11-429B14.4
1353,MIRLET7F1
1354,CTD-2318B16.4
1355,SNORD48
1356,RP5-908M14.9
1357,CNGB1
1358,SNORD42
1359,CNGB3
1360,BCLAF1
1361,SNORD45
1362,SNORD44
